c3833_g1_i2	Q09748	4.00	0.07	16.84	26.37	GO:0000001	mitochondrion inheritance
						GO:0000166	nucleotide binding
						GO:0000266	mitochondrial fission
						GO:0003774	motor activity
						GO:0003924	GTPase activity
						GO:0005525	GTP binding
						GO:0005737	cytoplasm
						GO:0005739	mitochondrion
						GO:0005741	mitochondrial outer membrane
						GO:0006184	obsolete GTP catabolic process
						GO:0007005	mitochondrion organization
						GO:0007031	peroxisome organization
						GO:0008152	metabolic process
						GO:0016020	membrane
						GO:0016787	hydrolase activity
						GO:0033955	mitochondrial DNA inheritance
						GO:0034643	establishment of mitochondrion localization, microtubule-mediated
						GO:0061025	membrane fusion
c4832_g1_i1	O60164	24.55	116.87	220.53	28.82	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
						GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
						GO:0005634	nucleus
						GO:0005654	nucleoplasm
						GO:0005730	nucleolus
						GO:0006364	rRNA processing
						GO:0030687	preribosome, large subunit precursor
						GO:0042254	ribosome biogenesis
						GO:0042273	ribosomal large subunit biogenesis
						GO:0043021	ribonucleoprotein complex binding
c5161_g1_i1	NA	107.49	89.39	26.95	698.97	NA	NA
c4399_g1_i2	P36614	27.91	72.57	5.56	36.58	GO:0000790	nuclear chromatin
						GO:0004721	phosphoprotein phosphatase activity
						GO:0005515	protein binding
						GO:0005634	nucleus
						GO:0005829	cytosol
						GO:0007049	cell cycle
						GO:0007067	NA
						GO:0007346	regulation of mitotic cell cycle
						GO:0008152	metabolic process
						GO:0008360	regulation of cell shape
						GO:0016311	dephosphorylation
						GO:0016787	hydrolase activity
						GO:0033047	regulation of mitotic sister chromatid segregation
						GO:0035307	positive regulation of protein dephosphorylation
						GO:0046872	metal ion binding
						GO:0051301	cell division
						GO:1900486	positive regulation of isopentenyl diphosphate biosynthetic process, mevalonate pathway
						GO:1900490	positive regulation of hydroxymethylglutaryl-CoA reductase (NADPH) activity
c5916_g1_i1	P37818	82.57	19.03	48.55	258.22	GO:0000050	urea cycle
						GO:0004053	arginase activity
						GO:0005634	nucleus
						GO:0005829	cytosol
						GO:0006525	arginine metabolic process
						GO:0010121	arginine catabolic process to proline via ornithine
						GO:0016787	hydrolase activity
						GO:0016813	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
						GO:0019547	arginine catabolic process to ornithine
						GO:0046872	metal ion binding
c73_g1_i1	Q9URZ2	109.25	0.00	1.69	249.04	GO:0003674	molecular_function
						GO:0005634	nucleus
						GO:0005737	cytoplasm
						GO:0005829	cytosol
						GO:0008150	biological_process
c2672_g1_i1	Q9UTS7	26.55	88.25	296.03	20.74	GO:0004067	asparaginase activity
						GO:0005576	extracellular region
						GO:0005618	cell wall
						GO:0005794	Golgi apparatus
						GO:0006520	cellular amino acid metabolic process
						GO:0006528	asparagine metabolic process
						GO:0006530	asparagine catabolic process
						GO:0006531	aspartate metabolic process
						GO:0009986	cell surface
						GO:0016787	hydrolase activity
c4859_g1_i1	P41887	863.50	8798.74	2081.02	53.46	GO:0000166	nucleotide binding
						GO:0005524	ATP binding
						GO:0005737	cytoplasm
						GO:0005739	mitochondrion
						GO:0005829	cytosol
						GO:0006200	obsolete ATP catabolic process
						GO:0006457	protein folding
						GO:0006458	'de novo' protein folding
						GO:0006950	response to stress
						GO:0034605	cellular response to heat
						GO:0042623	ATPase activity, coupled
						GO:0044183	protein folding chaperone
						GO:0051082	unfolded protein binding
						GO:0061077	chaperone-mediated protein folding
c6085_g1_i1	O14284	86.52	34.05	6.62	77.17	GO:0003674	molecular_function
						GO:0005634	nucleus
						GO:0005737	cytoplasm
						GO:0005739	mitochondrion
						GO:0005829	cytosol
						GO:0051321	meiotic cell cycle
c5949_g1_i1	O94315	544.55	88.38	9.00	770.03	GO:0005634	nucleus
						GO:0005737	cytoplasm
						GO:0005829	cytosol
						GO:0008150	biological_process
						GO:0016491	oxidoreductase activity
						GO:0055114	oxidation-reduction process
c4386_g1_i1	P40372	107.79	220.35	259.27	28.43	GO:0000027	ribosomal large subunit assembly
						GO:0002181	cytoplasmic translation
						GO:0003735	structural constituent of ribosome
						GO:0005622	intracellular
						GO:0005737	cytoplasm
						GO:0005829	cytosol
						GO:0005840	ribosome
						GO:0006412	translation
						GO:0022625	cytosolic large ribosomal subunit
						GO:0030529	NA
c196_g1_i1	Q10286	72.46	18.65	64.38	174.75	GO:0000139	Golgi membrane
						GO:0000329	fungal-type vacuole membrane
						GO:0005215	transporter activity
						GO:0005773	vacuole
						GO:0005774	vacuolar membrane
						GO:0005794	Golgi apparatus
						GO:0006810	transport
						GO:0016020	membrane
						GO:0016021	integral component of membrane
						GO:0022857	transmembrane transporter activity
						GO:0022891	NA
						GO:0055085	transmembrane transport
						GO:0097319	NA
c5627_g1_i1	O14400	249.73	28.59	12.40	6.47	GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
						GO:0005739	mitochondrion
						GO:0005975	carbohydrate metabolic process
						GO:0006072	glycerol-3-phosphate metabolic process
						GO:0006116	NADH oxidation
						GO:0009331	glycerol-3-phosphate dehydrogenase complex
						GO:0016491	oxidoreductase activity
						GO:0019563	glycerol catabolic process
						GO:0052590	sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity
						GO:0052591	sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
						GO:0055114	oxidation-reduction process
c4754_g4_i2	P78831	2369.93	44.61	150.75	892.83	GO:0005215	transporter activity
						GO:0005358	high-affinity glucose:proton symporter activity
						GO:0005887	integral component of plasma membrane
						GO:0006810	transport
						GO:0008643	carbohydrate transport
						GO:0016020	membrane
						GO:0016021	integral component of membrane
						GO:0022857	transmembrane transporter activity
						GO:0022891	NA
						GO:0032445	fructose import
						GO:0046323	glucose import
						GO:0055054	fructose:proton symporter activity
						GO:0055085	transmembrane transport
c181_g1_i1	G2TRN1	29.10	5.94	14.59	266.16	NA	NA
c3727_g1_i1	O74777	9.16	82.47	127.65	13.10	GO:0003723	RNA binding
						GO:0005634	nucleus
						GO:0005730	nucleolus
						GO:0006364	rRNA processing
						GO:0030529	NA
						GO:0032040	small-subunit processome
						GO:0042254	ribosome biogenesis
c1919_g1_i2	O60184	35.91	2.91	65.65	43.84	GO:0000122	negative regulation of transcription by RNA polymerase II
						GO:0003674	molecular_function
						GO:0005634	nucleus
						GO:0005737	cytoplasm
						GO:0006342	chromatin silencing
						GO:0006351	transcription, DNA-templated
						GO:0006355	regulation of transcription, DNA-templated
						GO:0016584	nucleosome positioning
						GO:0043234	NA
c3618_g1_i2	O13737	69.61	44.53	11.11	153.07	GO:0003674	molecular_function
						GO:0005783	endoplasmic reticulum
						GO:0005789	endoplasmic reticulum membrane
						GO:0008150	biological_process
